inn_name,aware_category,atc_hint,source
amikacin,Access,J01GB06,WHO AWaRe 2023
amoxicillin,Access,J01CA04,WHO AWaRe 2023
ampicillin,Access,J01CA01,WHO AWaRe 2023
azidocillin,Access,J01CE04,WHO AWaRe 2023
bacampicillin,Access,J01CA06,WHO AWaRe 2023
benzathine benzylpenicillin,Access,J01CE08,WHO AWaRe 2023
benzylpenicillin,Access,J01CE01,WHO AWaRe 2023
brodimoprim,Access,J01EA02,WHO AWaRe 2023
cefacetrile,Access,J01DB10,WHO AWaRe 2023
cefadroxil,Access,J01DB05,WHO AWaRe 2023
cefalexin,Access,J01DB01,WHO AWaRe 2023
cefaloridine,Access,J01DB02,WHO AWaRe 2023
cefalotin,Access,J01DB03,WHO AWaRe 2023
cefapirin,Access,J01DB08,WHO AWaRe 2023
cefatrizine,Access,J01DB07,WHO AWaRe 2023
cefazedone,Access,J01DB06,WHO AWaRe 2023
cefazolin,Access,J01DB04,WHO AWaRe 2023
cefradine,Access,J01DB09,WHO AWaRe 2023
cefroxadine,Access,J01DB11,WHO AWaRe 2023
ceftezole,Access,J01DB12,WHO AWaRe 2023
chloramphenicol,Access,J01BA01,WHO AWaRe 2023
clindamycin,Access,J01FF01,WHO AWaRe 2023
clometocillin,Access,J01CE07,WHO AWaRe 2023
cloxacillin,Access,J01CF02,WHO AWaRe 2023
dicloxacillin,Access,J01CF01,WHO AWaRe 2023
doxycycline,Access,J01AA02,WHO AWaRe 2023
epicillin,Access,J01CA07,WHO AWaRe 2023
flucloxacillin,Access,J01CF05,WHO AWaRe 2023
gentamicin,Access,J01GB03,WHO AWaRe 2023
metampicillin,Access,J01CA14,WHO AWaRe 2023
methicillin,Access,J01CF03,WHO AWaRe 2023
metronidazole,Access,J01XD01,WHO AWaRe 2023
nafcillin,Access,J01CF06,WHO AWaRe 2023
nitrofurantoin,Access,J01XE01,WHO AWaRe 2023
oxacillin,Access,J01CF04,WHO AWaRe 2023
penamecillin,Access,J01CE06,WHO AWaRe 2023
phenoxymethylpenicillin,Access,J01CE02,WHO AWaRe 2023
pivampicillin,Access,J01CA02,WHO AWaRe 2023
pivmecillinam,Access,J01CA08,WHO AWaRe 2023
procaine benzylpenicillin,Access,J01CE09,WHO AWaRe 2023
spectinomycin,Access,J01XX04,WHO AWaRe 2023
sulfadiazine,Access,J01EC02,WHO AWaRe 2023
sulfamethoxazole,Access,J01EC01,WHO AWaRe 2023
sulfamethoxazole/trimethoprim,Access,J01EE01,WHO AWaRe 2023
co-trimoxazole,Access,J01EE01,WHO AWaRe 2023
tetracycline,Access,J01AA07,WHO AWaRe 2023
thiamphenicol,Access,J01BA02,WHO AWaRe 2023
trimethoprim,Access,J01EA01,WHO AWaRe 2023
azithromycin,Watch,J01FA10,WHO AWaRe 2023
cefaclor,Watch,J01DC04,WHO AWaRe 2023
cefamandole,Watch,J01DC03,WHO AWaRe 2023
cefdinir,Watch,J01DD15,WHO AWaRe 2023
cefditoren,Watch,J01DD16,WHO AWaRe 2023
cefepime,Watch,J01DE01,WHO AWaRe 2023
cefetamet,Watch,J01DD10,WHO AWaRe 2023
cefixime,Watch,J01DD08,WHO AWaRe 2023
cefmenoxime,Watch,J01DD05,WHO AWaRe 2023
cefodizime,Watch,J01DD09,WHO AWaRe 2023
cefonicid,Watch,J01DC06,WHO AWaRe 2023
cefoperazone,Watch,J01DD12,WHO AWaRe 2023
cefotaxime,Watch,J01DD01,WHO AWaRe 2023
cefotetan,Watch,J01DC05,WHO AWaRe 2023
cefotiam,Watch,J01DC07,WHO AWaRe 2023
cefoxitin,Watch,J01DC01,WHO AWaRe 2023
cefpiramide,Watch,J01DD11,WHO AWaRe 2023
cefpodoxime,Watch,J01DD13,WHO AWaRe 2023
cefprozil,Watch,J01DC10,WHO AWaRe 2023
cefsulodin,Watch,J01DD03,WHO AWaRe 2023
ceftazidime,Watch,J01DD02,WHO AWaRe 2023
cefteram,Watch,J01DD18,WHO AWaRe 2023
ceftibuten,Watch,J01DD14,WHO AWaRe 2023
ceftizoxime,Watch,J01DD07,WHO AWaRe 2023
ceftriaxone,Watch,J01DD04,WHO AWaRe 2023
cefuroxime,Watch,J01DC02,WHO AWaRe 2023
ciprofloxacin,Watch,J01MA02,WHO AWaRe 2023
clarithromycin,Watch,J01FA09,WHO AWaRe 2023
delafloxacin,Watch,J01MA23,WHO AWaRe 2023
dirithromycin,Watch,J01FA13,WHO AWaRe 2023
enoxacin,Watch,J01MA04,WHO AWaRe 2023
ertapenem,Watch,J01DH03,WHO AWaRe 2023
erythromycin,Watch,J01FA01,WHO AWaRe 2023
fleroxacin,Watch,J01MA08,WHO AWaRe 2023
fosfomycin,Watch,J01XX01,WHO AWaRe 2023
gatifloxacin,Watch,J01MA16,WHO AWaRe 2023
